"","Stock","CMSY.B_BMSY.MAPE","CMSY.F_FMSY.MAPE","SPiCT.B_BMSY.MAPE","SPiCT.F_FMSY.MAPE","CMSY.B_BMSY.Corr","CMSY.F_FMSY.Corr","SPiCT.B_BMSY.Corr","SPiCT.F_FMSY.Corr"
"1","Cod7ek",0.38,0.36,4.88,0.85,0.67,-0.38,0.82,0.49
"2","CodFaroe",0.2,0.36,0.14,0.46,0.75,-0.09,0.93,0.67
"3","CodNS",0.34,0.43,1.51,0.46,0.22,-0.35,0.76,0.91
"4","Had6b",0.45,0.47,0.38,0.55,0.41,-0.11,0.73,0.3
"5","Had7bk",0.3,0.64,0.2,0.94,-0.2,-0.34,0.9,-0.52
"6","HadNS",0.63,0.6,1.76,1,0.1,-0.68,0.17,0.68
"7","Ple7a",0.5,0.64,2.88,0.73,-0.85,-0.63,0.81,0.98
"8","Ple7hk",0.45,0.34,13.45,0.92,0.12,0.64,0.36,0.05
"9","Sol2024",0.24,0.38,2.38,0.8,0.48,-0.21,0.74,0.88
"10","Sol7a",0.14,0.47,0.92,0.26,0.86,-0.34,0.9,0.44
"11","Sol7fg",0.23,0.18,0.49,0.28,0.63,0.37,0.77,0.61
"12","Sol7hk",0.17,0.36,0.66,0.16,0.97,0.11,0.93,0.7
"13","Whg6a",0.84,0.51,10.93,0.93,0.79,-0.16,0.6,0.66
"14","Whg7a",3.04,0.57,44.69,1,0.92,0.68,0.59,-0.41
"15","Whg7bk",0.23,0.24,0.59,0.17,0.64,0.57,0.9,0.94
"16","WhgNS",0.39,0.59,2.98,0.99,0.74,-0.5,0.54,0.83
"17","Cod6a",0.27,0.67,1.62,0.72,0.86,0.19,0.74,0.16
"18","Median",0.34,0.47,1.62,0.73,0.64,-0.16,0.76,0.66
