"","year","catch","year.index1","index1","year.index2","index2","year.index3","index3","year.index4","index4","year.index5","index5","year.index6","index6"
"1",1978,13681.30759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1979,16127.896036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1980,18301.618668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1981,24167.523852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1982,22081.611618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1983,21502.563067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1984,21600.691667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1985,19570.024231,1985.125,177.2245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1986,12083.317756,1986.125,195.0251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1987,21358.402489,1987.125,239.4531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1988,20781.345651,1988.125,157.5747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1989,19245.502077,1989.125,187.4058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1990,12745.977881,1990.125,160.8165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1991,11548.571724,1991.125,191.7156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1992,10865.324162,1992.125,110.7781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1993,10452.826781,1993.125,114.1487,1993.625,0.186319089381,NA,NA,NA,NA,NA,NA,NA,NA
"17",1994,9588.430076,1994.125,134.2227,1994.625,0.46794720463,NA,NA,NA,NA,NA,NA,NA,NA
"18",1995,9579.726241,1995.125,183.9756,1995.625,0.253320373238,NA,NA,NA,NA,NA,NA,NA,NA
"19",1996,9489.327659,1996.125,143.9139,1996.625,0.170363171862,NA,NA,1996.875,58.5325,NA,NA,NA,NA
"20",1997,7532.966806,1997.125,159.2917,1997.625,0.252621759041,NA,NA,1997.875,31.0129,NA,NA,NA,NA
"21",1998,6252.285667,1998.125,132.2993,1998.625,0.073234900442,NA,NA,1998.875,21.7361,NA,NA,NA,NA
"22",1999,4270.131417,1999.125,63.711,1999.625,0.024112533598,NA,NA,1999.875,31.5268,NA,NA,NA,NA
"23",2000,3798.000184,2000.125,41.457,2000.625,0.059728150365,NA,NA,2000.875,16.798,NA,NA,NA,NA
"24",2001,2438.570631,2001.125,233.3156,2001.625,0.114768213525,NA,NA,2001.875,14.2489,NA,NA,NA,NA
"25",2002,2722.239342,2002.125,70.3905,2002.625,0.049003507378,NA,NA,2002.875,28.8878,NA,NA,NA,NA
"26",2003,1275.070552,2003.125,61.9008,NA,NA,2003.875,0.9522272195,2003.875,21.5045,NA,NA,NA,NA
"27",2004,612.020415,2004.125,39.1546,NA,NA,2004.875,1.354,2004.875,14.2822,NA,NA,NA,NA
"28",2005,551.969342,2005.125,8.6168,NA,NA,2005.875,1.658,2005.875,9.0888,NA,NA,NA,NA
"29",2006,953.651071,2006.125,10.6005,NA,NA,2006.875,3.0336953492,2006.875,23.7893,NA,NA,NA,NA
"30",2007,2474.354736,2007.125,37.671,NA,NA,2007.875,4.7382608413,2007.875,32.96,NA,NA,NA,NA
"31",2008,1376.534883,2008.125,170.6441,NA,NA,2008.875,2.8108016509,2008.875,35.9739,NA,NA,NA,NA
"32",2009,1353.279048,2009.125,15.9842,NA,NA,2009.875,4.2498113155,2009.875,32.7218,NA,NA,NA,NA
"33",2010,1344.096912,2010.125,42.1882,NA,NA,2010.875,3.2424167096,NA,NA,NA,NA,NA,NA
"34",2011,2124.190555,NA,NA,NA,NA,2011.875,2.3126340808,NA,NA,2011.125,128.994415,2011.125,109.26127
"35",2012,1631.796828,NA,NA,NA,NA,2012.875,3.3848781273,NA,NA,2012.125,213.996915,2012.125,148.84035
"36",2013,1500.999696,NA,NA,NA,NA,2013.875,4.9319536919,NA,NA,2013.125,353.631799,2013.125,NA
"37",2014,1667.953343,NA,NA,NA,NA,NA,NA,NA,NA,2014.125,138.47146,2014.125,151.19657
"38",2015,1752.239586,NA,NA,NA,NA,NA,NA,NA,NA,2015.125,676.481546,2015.125,370.80305
"39",2016,1744.814126,NA,NA,NA,NA,NA,NA,NA,NA,2016.125,479.072874,2016.125,774.77087
"40",2017,2363.130405,NA,NA,NA,NA,NA,NA,NA,NA,2017.125,1449.681405,2017.125,172.382572
