"","year","catch","year.index1","index1","year.index2","index2","year.index3","index3"
"1",1968,9826.43,NA,NA,NA,NA,NA,NA
"2",1969,9889.34,NA,NA,NA,NA,NA,NA
"3",1970,7133.87,NA,NA,NA,NA,NA,NA
"4",1971,9609.42,NA,NA,NA,NA,NA,NA
"5",1972,10779.94,NA,NA,NA,NA,NA,NA
"6",1973,13040.64,NA,NA,NA,NA,NA,NA
"7",1974,11999.59,NA,NA,NA,NA,NA,NA
"8",1975,10720.16,NA,NA,NA,NA,NA,NA
"9",1976,10628.04,NA,NA,NA,NA,NA,NA
"10",1977,8255.27,NA,NA,NA,NA,NA,NA
"11",1978,5662.05,NA,NA,NA,NA,NA,NA
"12",1979,7548.09,NA,NA,NA,NA,NA,NA
"13",1980,10599.14,NA,NA,NA,NA,NA,NA
"14",1981,13958.08,NA,NA,NA,NA,NA,NA
"15",1982,13694.07,NA,NA,NA,NA,NA,NA
"16",1983,10387.16,NA,NA,NA,NA,NA,NA
"17",1984,8384.85,NA,NA,NA,NA,NA,NA
"18",1985,10544.33,NA,NA,NA,NA,NA,NA
"19",1986,10006.06,NA,NA,NA,NA,NA,NA
"20",1987,13021.91,NA,NA,NA,NA,NA,NA
"21",1988,14276.98,NA,NA,NA,NA,NA,NA
"22",1989,12952.54,NA,NA,NA,NA,NA,NA
"23",1990,7537.94,NA,NA,NA,NA,NA,NA
"24",1991,7258.45,1991.875,151.7012,NA,NA,NA,NA
"25",1992,7832.71,1992.875,120.106,NA,NA,NA,NA
"26",1993,7709.97,1993.875,39.4764,1993.125,1484.10771,NA,NA
"27",1994,5543.64,1994.875,26.656,1994.125,1811.04647,NA,NA
"28",1995,4753.16,1995.875,57.1686,1995.125,1492.26171,NA,NA
"29",1996,5104.06,1996.875,95.2462,1996.125,2060.15972,NA,NA
"30",1997,5978.56,1997.875,150.4118,1997.125,1626.67094,NA,NA
"31",1998,5347.25,1998.875,45.8649,1998.125,1703.25825,NA,NA
"32",1999,4943.34,1999.875,1.7255,1999.125,1326.40717,NA,NA
"33",2000,1973.14,2000.875,93.4235,2000.125,1048.32412,NA,NA
"34",2001,2316.45,2001.875,60.1078,2001.125,1562.98111,NA,NA
"35",2002,2740.7,2002.875,27.636,2002.125,2247.21467,NA,NA
"36",2003,1500.41,2003.875,28.6891,2003.125,2471.81546,NA,NA
"37",2004,1326.44,2004.875,168.0759,2004.125,1009.28431,NA,NA
"38",2005,1114.1,2005.875,14.1029,2005.125,887.84236,2005.5,11.91318
"39",2006,1025.03,2006.875,5.4832,2006.125,607.53356,2006.5,14.07391
"40",2007,847.16,2007.875,14.3424,2007.125,509.75196,2007.5,10.28567
"41",2008,723.47,2008.875,5.429,2008.125,499.60213,2008.5,4.9781
"42",2009,554.36,2009.875,3.278,2009.125,438.96,2009.5,7.16706
"43",2010,850.31,2010.875,86.8346,2010.125,1838.30191,2010.5,7.59491
"44",2011,412.71,2011.875,24.73951,2011.125,1313.911587,2011.5,8.851723
"45",2012,875.65,2012.875,91.87903,2012.125,980.10313,2012.5,13.4503
"46",2013,358.02,2013.875,125.4827,2013.125,1131.72751,2013.5,20.43511
"47",2014,396.53,2014.875,167.6292,2014.125,1162.12685,2014.5,0
"48",2015,308.02,2015.875,287.5301,2015.125,1690.1163,2015.5,18.83223
"49",2016,142.23,2016.875,400.2492,2016.125,1133.5162,2016.5,33.199108
"50",2017,143.945,2017.875,79.522,2017.125,1153.63,2017.5,48.847
