year,age0,age1,age2,age3,age4,age5,age6+
1991,1109.37,50.06,47.6,8.64,0,0,0
1992,553.23,146.44,0.76,0,0,0,0
1993,1672.49,25.44,10.44,0,0,0,0
1994,1206.8,33.32,0,0,0,0,0
1995,486.65,50.15,6.54,0,0,0,0
1996,1322.2,97.19,0,0,0,0,0
1997,376.51,163.9,5.72,0,0,0,0
1998,58.47,32.48,9.49,0,0,0,0
1999,301.64,2.03,0,0,0,0,0
2000,506.79,109.91,0,0,0,0,0
2001,487.89,37.68,12.53,0,0,0,0
2002,161.45,29.4,0,0,0,0,0
2003,578.97,23.71,0,0,0,0,0
2004,706.13,107.72,17.28,2.89,0,0,0
2005,130.2,1.47,6.58,0,0,0,0
2006,86.99,0,2.98,0,0,0,0
2007,17.28,17.28,0,0,0,0,0
2008,213.62,6.1,0,0,0,0,0
2009,171.8,2.98,0,0,0,0,0
2010,92.48,53.86,3.05,3.05,0,0,0
2011,107.05,1.69,6.37,2.98,0,0,0
2012,321.82,32.791,20.325,0,0,3.049,0
2013,41.67,79.95,20.66,0,0,0,0
2014,0,55.35,39.15,6.78,0,0,0
2015,224.27,0,55.42,39.06,6.81,0,0
2016,14.98,0,181.79,26.6,6.1,0,0
2017,429.5,44.6,10.6,3,3,0,0
