year,age0,age1,age2,age3,age4,age5,age6+
2005,0,0,0.427,1.409,0.99,0.084,0.025
2006,0,0.003,0.536,2.815,0.427,0.104,0.01
2007,0,0.008,0.611,1.322,0.585,0.055,0.058
2008,0,0.003,0.221,0.824,0.147,0.084,0.02
2009,0,0.009,0.171,1.152,0.377,0.099,0.018
2010,0,0,0.735,0.452,0.467,0.13,0.023
2011,0,0,0.407,1.681,0.144,0.095,0.039
2012,0,0,0.364,2.3,0.803,0.072,0.021
2013,0,0,0.844,1.883,1.348,0.37,0.057
2014,0,0,0,0,0,0,0
2015,0,0,0.602,2.041,1.169,0.256,0.045
2016,0,0,1.001,6.388,1.434,0.413,0.028
2017,0,0,3.06,2.853,3.844,1.008,0.227
