"","year","catch","year.index1","index1","year.index2","index2"
"1",1971,5782,NA,NA,NA,NA
"2",1972,4737,NA,NA,NA,NA
"3",1973,4015,NA,NA,NA,NA
"4",1974,2898,NA,NA,NA,NA
"5",1975,3993,NA,NA,NA,NA
"6",1976,4818,NA,NA,NA,NA
"7",1977,3059,NA,NA,NA,NA
"8",1978,3647,NA,NA,NA,NA
"9",1979,4650,NA,NA,NA,NA
"10",1980,7243,NA,NA,NA,NA
"11",1981,10597,NA,NA,NA,NA
"12",1982,8766,NA,NA,NA,NA
"13",1983,9641,NA,NA,NA,NA
"14",1984,6631,NA,NA,NA,NA
"15",1985,8317,NA,NA,NA,NA
"16",1986,10475,NA,NA,NA,NA
"17",1987,10228,NA,NA,NA,NA
"18",1988,17191,NA,NA,NA,NA
"19",1989,19809,NA,NA,NA,NA
"20",1990,12749,NA,NA,NA,NA
"21",1991,9336,NA,NA,NA,NA
"22",1992,9747,NA,NA,NA,NA
"23",1993,10425,NA,NA,NA,NA
"24",1994,10620,NA,NA,NA,NA
"25",1995,11709,NA,NA,NA,NA
"26",1996,12681,NA,NA,NA,NA
"27",1997,12035,NA,NA,NA,NA
"28",1998,11431,NA,NA,NA,NA
"29",1999,8594,NA,NA,NA,NA
"30",2000,6536,2000.625,5.361231894966,NA,NA
"31",2001,8308,2001.625,9.09311256013,NA,NA
"32",2002,9236,2002.625,12.274415421415,NA,NA
"33",2003,6420,2003.625,8.013270773191,2003.875,5.19568
"34",2004,3672,2004.625,3.758904984728,2004.875,3.63252
"35",2005,3062,2005.625,3.717745955951,2005.875,2.30687
"36",2006,3776,2006.625,4.15103467338,2006.875,2.90822
"37",2007,4830,2007.625,11.687792409821,2007.875,3.73603
"38",2008,3961,2008.625,7.8639276995214,2008.875,4.00289
"39",2009,3292,2009.625,5.371157961666,2009.875,3.69586
"40",2010,3229,2010.625,6.00402946372,2010.875,9.27969
"41",2011,7261,2011.625,24.343942313544,2011.875,8.90208
"42",2012,7692,2012.625,22.814140582619,2012.875,7.24658
"43",2013,6290,2013.625,12.044237280425,2013.875,2.98337
"44",2014,3879,2014.625,7.506831983284,2014.875,7.08874
"45",2015,4154,2015.625,8.868055738569,2015.875,4.4007
"46",2016,3299,2016.625,7.10043620916,2016.875,7.28997
"47",2017,2237,2017.625,3.550426710103,2017.875,4.0567
