year,age0,age1,age2,age3,age4,age5,age6
2003,0.14,0.61,0.75,0.5,0.17,0,0
2004,0.24,0.88,0.24,0.15,0.14,0.07,0
2005,0.06,1.81,0.26,0.09,0,0,0
2006,0.04,1.39,0.67,0.08,0,0,0.02
2007,0,1.93,0.64,0.19,0.05,0,0
2008,0,0.55,0.88,0.24,0.12,0,0
2009,0.1,1.38,0.17,0.26,0.12,0,0.01
2010,0.12,7.34,0.76,0.04,0.06,0.07,0
2011,0.02,4.09,3.54,0.22,0.04,0.03,0
2012,0,0.39,1.32,0.8,0.19,0.04,0
2013,0.08,0.42,0.05,0.21,0.23,0,0
2014,0,3.64,0.27,0.12,0.15,0.2,0
2015,0,0.31,1.36,0.12,0,0.05,0.06
2016,0,2.27,0.18,0.81,0.07,0.02,0.07
2017,0.04,0.32,0.6,0.27,0.17,0.02,0
