year,age0,age1,age2,age3,age4,age5,age6
1971,0,0.662,1.709,4.444,7.321,9.529,11.605
1972,0,0.662,1.709,4.444,7.321,9.529,11.605
1973,0,0.662,1.709,4.444,7.321,9.529,11.605
1974,0,0.662,1.709,4.444,7.321,9.529,11.605
1975,0,0.662,1.709,4.444,7.321,9.529,11.605
1976,0,0.662,1.709,4.444,7.321,9.529,11.605
1977,0,0.662,1.709,4.444,7.321,9.529,11.605
1978,0,0.662,1.709,4.444,7.321,9.529,11.605
1979,0,0.662,1.709,4.444,7.321,9.529,11.605
1980,0,0.662,1.709,4.444,7.321,9.529,11.605
1981,0,0.46,1.549,2.284,7.806,10.544,11.439
1982,0,0.704,1.488,3.876,7.407,9.624,12.316
1983,0,0.446,1.945,4.467,7.353,9.752,11.223
1984,0,0.512,1.951,4.928,7.433,9.552,12.18
1985,0,0.581,2.07,5.333,8.376,10.851,11.585
1986,0,0.528,1.902,5.286,7.382,10.689,12.393
1987,0,0.522,1.947,4.877,7.946,10.308,14.419
1988,0,0.906,1.621,4.887,7.777,10.302,11.786
1989,0,0.844,1.463,4.514,7.615,9.438,12.692
1990,0,0.613,1.774,4.39,7.186,8.486,10.703
1991,0,0.539,1.538,4.791,6.524,8.631,10.672
1992,0,0.663,1.318,4.6,6.558,9.342,11.285
1993,0,0.703,1.385,4.278,6.574,8.066,10.815
1994,0,0.605,1.754,4.189,7.72,9.722,12.101
1995,0,0.612,1.444,4.346,7.452,9.14,10.646
1996,0,0.673,1.283,4.471,6.747,9.877,11.424
1997,0,0.47,1.41,4.079,7.112,9.044,11.156
1998,0,0.421,1.314,4.34,6.676,9.303,11.172
1999,0,0.778,1.542,4.252,7.126,8.7,11.142
2000,0,0.561,1.696,4.223,6.627,9.326,10.505
2001,0,0.63,1.455,4.904,7.872,10.192,11.613
2002,0,0.352,1.257,4.452,7.046,9.4,10.614
2003,0,0.482,1.327,4.111,6.601,9.183,10.635
2004,0,0.591,1.258,4.053,6.759,9.372,10.158
2005,0,0.588,1.688,4.075,5.945,9.018,11.333
2006,0,0.703,1.216,4.233,6.819,8.895,11.487
2007,0,0.722,1.399,3.794,6.99,9.809,12.273
2008,0,0.869,1.449,4.188,6.896,8.881,11.543
2009,0,0.938,1.629,3.865,6.557,8.985,10.567
2010,0,0.819,1.424,4.373,6.984,9.891,11.663
2011,0,0.374,1.214,4.198,7.239,9.404,11.039
2012,0,1.005,1.224,3.534,7.333,10.404,11.702
2013,0,0.497,1.377,3.747,6.805,8.491,9.945
2014,0,0.464,1.654,3.788,6.53,9.074,10.584
2015,0,1.161,1.309,4.079,8.517,10.105,10.661
2016,0,0.647,1.31,3.683,6.7,10.573,11.453
2017,0,0.299,1.543,3.363,6.191,6.376,10.606
