year,age1,age2,age3,age4,age5,age6,age7,age8,age9
1994,7.769204965,612.5270497,336.924338,912.7725533,508.5363361,129.6753837,187.2398303,28.5676454,0.1
1995,4.185057972,623.1759653,845.6837721,1528.426282,1525.182216,1191.393562,285.6473884,350.8401424,48.89464711
1996,0.1,215.4651419,4043.862586,3984.378919,1892.079249,1371.957515,420.8446371,82.83087463,169.7090598
1997,1.84501845,72.54259047,834.4025185,5398.273039,2359.549897,333.9431871,227.0077353,58.76879237,5.314749258
1998,1.180811808,69.72726088,425.1842917,1572.115873,4919.265617,1135.969041,82.29807421,40.73411381,35.23258727
1999,9.997318005,704.6697116,674.9181532,991.3467621,1225.188105,2079.198483,252.1279404,25.16617403,13.36398852
2000,2.032595326,315.9608048,1432.44047,746.0615858,441.0125216,506.7032337,836.7177473,63.84899394,3.115246134
2001,1.429889299,938.4212996,2387.799233,1993.76919,456.1781427,324.4389616,578.6495156,128.6121615,3.858525371
2002,0.230627306,383.0002296,4564.066506,2892.146635,1579.665203,331.9341111,231.7603217,178.9411061,131.9009767
2003,0.1,90.23993552,718.9575783,3914.969463,1260.432467,528.7282087,67.37036706,51.65322774,39.73308765
2004,0.230627306,609.5293794,575.8401224,844.6106615,1175.080517,292.9159065,66.0499762,22.22754635,11.90400539
2005,0.1,383.0726795,438.162472,1151.674356,1440.241391,844.4929549,140.6442825,14.02155713,3.816385408
2006,1.07346528,167.4650029,156.6915628,177.2543613,360.0677562,291.9716462,94.98727743,15.49338646,3.99168909
2007,0.1,41.09427017,270.8811875,286.6419871,155.1505011,170.377431,105.1062391,37.82111623,14.37574223
2008,5.551348686,176.6169603,474.5399177,851.9113594,479.1786088,151.5211576,83.90260935,39.36729675,13.34577067
2009,71.49171977,307.8115189,475.518201,977.6774166,1159.092759,427.2779335,73.7438027,31.63666843,24.94299284
2010,34.99720981,697.639405,1318.79466,745.6238452,538.1306489,381.0078433,98.93569685,40.97660789,17.18416913
2011,0.1,148.4387413,1318.9699,1240.312378,562.4316073,300.1780848,237.7541235,85.15854393,21.9080478
2012,0.1,1.375751396,273.7949047,1303.766052,326.7258472,73.61221487,27.00500494,23.74209551,6.173217144
2013,3.225138425,67.98267935,377.6271906,1699.781856,2053.207395,295.5778448,32.62339419,22.36737133,17.7255857
2014,0.98400984,130.8909713,113.4359764,159.5790672,419.7344714,333.0489414,74.75831989,22.0108338,13.56672241
2015,0.1,22.40757577,533.2709722,225.6304636,193.9137409,305.2235308,138.8554513,32.55694492,8.043228476
2016,6.211422445,81.73989162,280.0598897,697.2557775,151.7706837,73.42496228,77.32053771,27.18853187,7.655807303
2017,26.63360696,107.5882646,526.8446086,695.4402717,1087.846741,136.0341,55.93701775,31.32841968,9.883191352
2018,22.06521361,587.3531164,924.2286007,1004.510267,731.5712224,715.6653415,155.7523346,51.30145156,35.3183514
