year,age1,age2,age3,age4,age5,age6,age7,age8,age9
1996,38.07976992,706.999827,6576.495907,3705.097453,1298.062599,701.5022484,233.1226529,48.53954154,75.07515536
1997,70.32758132,512.6759425,1500.665519,6754.634319,1466.594412,178.3873058,137.8080265,30.13899104,1.422218361
1998,393.3613063,524.9356637,505.0673435,979.4218015,3675.165558,902.6495955,49.98692771,36.98503193,17.90642982
1999,112.5715324,373.3251,1256.844697,753.1387197,675.3063858,1422.494067,237.9701691,40.41805796,10.04553819
2000,441.1233069,1364.066642,1153.33619,673.8497692,309.6131138,436.8626597,600.7748035,35.41600187,6.832081119
2001,203.8893573,3422.134138,2458.72139,1537.750556,415.9245945,234.7881266,282.9871773,242.0187054,31.03003028
2002,734.1532432,2326.005857,5562.934516,1816.477685,810.8185715,147.6808349,83.3215752,69.49875969,49.41111322
2003,63.96237871,354.0045439,1038.834215,2209.181096,565.9005173,123.3967337,17.61141879,11.90358382,18.41864959
2004,200.9221539,436.9966618,839.882675,1080.234787,1550.245116,344.2095174,80.15980031,25.65002264,21.67540758
2005,212.6552791,616.5335482,735.1084642,872.1291393,1166.342491,755.9957661,142.5352558,44.80505451,12.66063434
2006,126.2164904,978.399585,684.1625536,349.3289994,312.0487739,256.6416633,123.0439523,28.15185701,15.57881327
2007,82.97772676,234.1166146,448.6538104,314.209462,179.6993265,134.4994368,75.85833741,30.94691237,12.71707015
2008,177.9028346,68.78323369,370.1146259,328.0376326,401.2075437,160.0885253,52.44768853,27.51835882,32.9684438
2009,599.084517,428.1758497,1980.571249,817.6989843,551.4270837,393.0720186,132.1371232,47.83357962,38.45972595
2010,256.083345,1239.296449,1543.881568,1012.01924,363.4117401,243.5640716,148.8511646,41.54907465,34.15782713
2011,7.160686463,301.6776676,1373.591155,1084.208468,380.1036397,160.6174081,104.5646633,37.38903927,14.14673056
2012,38.01008324,22.13540386,230.8127995,1081.757467,511.6766067,88.36740194,35.74323825,19.50475022,4.749788631
2013,380.0771187,101.7296987,205.8533467,209.3071167,888.4247075,542.4834235,104.2498998,43.88656322,30.83928862
2014,12.86366169,642.3056762,861.1909271,357.6342184,358.1918915,401.4614651,124.2611524,36.63205325,22.05832495
2015,195.2686017,235.2936231,2230.44683,1696.141344,414.7045981,363.404496,242.2577906,67.24184738,16.10565783
2016,203.5158507,583.9554412,839.0254484,1852.672026,690.8129128,146.8160685,142.7581085,72.88960063,14.57269147
2017,686.6281724,826.2776652,1001.085447,1589.436497,1644.186902,360.4322124,130.2111691,64.41282037,17.89310401
