"","year","catch","year.index1","index1","year.index2","index2"
"1",1959,22348.327,NA,NA,NA,NA
"2",1960,31990.04,NA,NA,NA,NA
"3",1961,23818.82,NA,NA,NA,NA
"4",1962,22200.9,NA,NA,NA,NA
"5",1963,23205.72,NA,NA,NA,NA
"6",1964,21454.88,NA,NA,NA,NA
"7",1965,21498.13,NA,NA,NA,NA
"8",1966,18723.15,NA,NA,NA,NA
"9",1967,23045.56,NA,NA,NA,NA
"10",1968,28240.87,NA,NA,NA,NA
"11",1969,29831.41,NA,NA,NA,NA
"12",1970,24320.67,NA,NA,NA,NA
"13",1971,18761.91,NA,NA,NA,NA
"14",1972,15004.33,NA,NA,NA,NA
"15",1973,21934.99,NA,NA,NA,NA
"16",1974,24256.65,NA,NA,NA,NA
"17",1975,37878.54,NA,NA,NA,NA
"18",1976,41231.22,NA,NA,NA,NA
"19",1977,49809.06,NA,NA,NA,NA
"20",1978,26677.776,NA,NA,NA,NA
"21",1979,23480.433,NA,NA,NA,NA
"22",1980,19380.961,NA,NA,NA,NA
"23",1981,22063.28,NA,NA,NA,NA
"24",1982,21424.896,NA,NA,NA,NA
"25",1983,39333.425,NA,NA,NA,NA
"26",1984,38181.473,NA,NA,NA,NA
"27",1985,41602.858,NA,NA,NA,NA
"28",1986,35943.151,NA,NA,NA,NA
"29",1987,22184.348,NA,NA,NA,NA
"30",1988,23040.471,NA,NA,NA,NA
"31",1989,22578.833,NA,NA,NA,NA
"32",1990,13828.32,NA,NA,NA,NA
"33",1991,8254.729,NA,NA,NA,NA
"34",1992,6269.107,NA,NA,NA,NA
"35",1993,5972.888,NA,NA,NA,NA
"36",1994,8920.558,1994.25,9913.76200478051,NA,NA
"37",1995,22799.45,1995.25,29536.8836770491,NA,NA
"38",1996,40667.377,1996.25,45825.1123109615,1996.5,44735.2967519527
"39",1997,33936.037,1997.25,30909.1347723125,1997.5,31861.4514623577
"40",1998,23354.538,1998.25,28847.8151159035,1998.5,22713.1593242596
"41",1999,18980.872,1999.25,23287.8923998116,1999.5,18186.9703235993
"42",2000,20947.957,2000.25,19835.4386137624,2000.5,18496.1231332214
"43",2001,28498.639,2001.25,24954.5538258465,2001.5,27653.4899114188
"44",2002,38813.853,2002.25,34818.6844772508,2002.5,32044.4213091913
"45",2003,25164.535,2003.25,23334.2710854058,2003.5,13301.6701711986
"46",2004,12825.037,2004.25,10397.3965233384,2004.5,13322.3631377271
"47",2005,10069.797,2005.25,14245.9124076386,2005.5,13698.0282731241
"48",2006,9816.971,2006.25,4443.01858254211,2006.5,7212.72013611914
"49",2007,7478.714,2007.25,3993.78426685108,2007.5,4409.79176085818
"50",2008,7247.216,2008.25,7017.1183903793,2008.5,5083.82199633993
"51",2009,9912.427,2009.25,11374.7937347705,2009.5,13353.0608121904
"52",2010,12698.856,2010.25,11590.4987525822,2010.5,13277.4648657461
"53",2011,9695.189,2011.25,14168.8107200627,2011.5,11147.8035234458
"54",2012,7202.887,2012.25,6765.80201426237,2012.5,6941.36988011578
"55",2013,4471.314,2013.25,18674.6245710983,2013.5,10992.97853003
"56",2014,5718.804,2014.25,5948.12808351992,2014.5,10136.321149217
"57",2015,7286.075,2015.25,6495.10619305954,2015.5,19751.4065428715
"58",2016,5911.545,2016.25,5662.14482705069,2016.5,16801.6344578435
"59",2017,5324.729,2017.25,11685.8232705876,2017.5,24127.492003002
