"","year","catch","year.index1","index1","year.index2","index2"
"1",1963,128102.1357,NA,NA,NA,NA
"2",1964,130035.2741,NA,NA,NA,NA
"3",1965,209068.73,NA,NA,NA,NA
"4",1966,257987.6652,NA,NA,NA,NA
"5",1967,274999.4966,NA,NA,NA,NA
"6",1968,304444.7924,NA,NA,NA,NA
"7",1969,204484.1347,NA,NA,NA,NA
"8",1970,242642.9553,NA,NA,NA,NA
"9",1971,410498.3233,NA,NA,NA,NA
"10",1972,385791.0634,NA,NA,NA,NA
"11",1973,267842.8129,NA,NA,NA,NA
"12",1974,252714.276,NA,NA,NA,NA
"13",1975,241132.3168,NA,NA,NA,NA
"14",1976,305328.805,NA,NA,NA,NA
"15",1977,347181.6797,NA,NA,NA,NA
"16",1978,327061.2804,NA,NA,NA,NA
"17",1979,428086.4376,NA,NA,NA,NA
"18",1980,587442.7478,NA,NA,NA,NA
"19",1981,390753.9406,NA,NA,NA,NA
"20",1982,356376.1499,NA,NA,NA,NA
"21",1983,279031.5442,1983.125,28660.02662,NA,NA
"22",1984,378275.345,1984.125,20945.84076,NA,NA
"23",1985,245641.6438,1985.125,24783.13096,NA,NA
"24",1986,339691.8666,1986.125,20082.8933,NA,NA
"25",1987,243840.2193,1987.125,21461.83411,NA,NA
"26",1988,193767.2719,1988.125,15435.32837,NA,NA
"27",1989,201155.1782,1989.125,18917.78062,NA,NA
"28",1990,151592.4457,1990.125,13904.2575,NA,NA
"29",1991,119677.908,1991.125,12463.31254,NA,NA
"30",1992,148984.6658,1992.125,12488.97708,1992.625,11799.09339
"31",1993,141383.223,1993.125,14460.37857,1993.625,7955.44808
"32",1994,208172.8836,1994.125,12350.70558,1994.625,10580.87772
"33",1995,168055.5626,1995.125,18719.71118,1995.625,12545.99417
"34",1996,138777.4097,1996.125,13196.6905,1996.625,8666.16915
"35",1997,155599.8101,1997.125,15142.52275,1997.625,16181.21181
"36",1998,184807.2844,1998.125,12583.29599,1998.625,9011.11297
"37",1999,107733.4299,1999.125,11155.87102,1999.625,5836.03944
"38",2000,82922.21512,2000.125,8855.53652,2000.625,4855.02301
"39",2001,61986.76125,2001.125,6373.90981,2001.625,3562.60997
"40",2002,65036.36245,2002.125,5952.99456,2002.625,4069.32457
"41",2003,34437.04722,2003.125,5544.37444,2003.625,3234.61525
"42",2004,36471.4759,2004.125,5407.22209,2004.625,2910.06371
"43",2005,38104.04022,2005.125,4961.03155,2005.625,2351.57533
"44",2006,37576.93998,2006.125,4085.16595,2006.625,3401.72806
"45",2007,54641.11221,2007.125,6257.07394,2007.625,5235.64757
"46",2008,51794.90584,2008.125,7053.75354,2008.625,6171.62813
"47",2009,54026.16675,2009.125,7261.56049,2009.625,4045.46006
"48",2010,49105.77217,2010.125,8673.96586,2010.625,6035.53963
"49",2011,40686.81556,2011.125,8357.73188,2011.625,8390.66042
"50",2012,40763.89765,2012.125,9711.88484,2012.625,6519.86875
"51",2013,40757.48654,2013.125,9000.11352,2013.625,6706.02426
"52",2014,45192.27158,2014.125,8282.96205,2014.625,7012.40399
"53",2015,49899.87986,2015.125,10522.24627,2015.625,9214.81516
"54",2016,50310.4274,2016.125,10953.29789,2016.625,10498.95542
"55",2017,46368.627,2017.125,13374.05449,2017.625,6266.17906
