year,age1,age2,age3,age4,age5,age6
1983,4412.26,16117.23,1697.33,993.55,367.64,393.24
1984,13407.82,6211.7,2371.71,463.77,426.27,184.33
1985,628.75,16574.05,2008.68,792.24,225.26,275.27
1986,12980.8,2679.22,3433.8,955.89,431.91,231.91
1987,5256.87,15386.4,717.02,795.71,214.43,200.68
1988,2960.81,3778.93,3464.1,200.22,347.64,208.15
1989,9834.49,3629.38,2595.06,1245.19,157.25,248.1
1990,2070.31,7957.21,1139.43,432.58,484.25,81.63
1991,1744.39,2367.47,1934.32,509.51,270.47,267.13
1992,9891.21,3068.09,739.24,511.53,158.27,67.77
1993,3359.62,8413.28,973.7,349.03,248.55,76.81
1994,7373.83,2210.07,1583.79,489.1,229.47,126.06
1995,7224.15,9630.95,1829.8,526.26,184.28,73.8
1996,1910.07,4140.18,2368.32,410.98,259.89,68.84
1997,15792.85,3114.09,1244.03,535.73,154.99,109.44
1998,660.18,9985.18,1171.28,493.41,289.65,108.75
1999,1413.81,478.26,4290.43,577.62,291.16,101.57
2000,3502.66,2171.49,506.02,964.19,175.69,107.97
2001,886.84,3881.7,876.73,159.21,147.87,55.28
2002,2974.63,1526.12,1568.61,248.51,57.24,59.78
2003,363.45,2003.79,722.2,479.23,156.18,31.1
2004,2762.97,1282.43,1154.17,187.99,183.46,70.41
2005,1107.63,1483.2,494.02,401.35,68.9,108.36
2006,3946.1,883.98,766.5,157.08,86.84,57.27
2007,1441.51,2659.4,704.78,229.69,86.11,66.64
2008,2313.64,1087.08,1185.27,292,200.32,50.8
2009,1071.32,1763.1,816.68,388.63,126.47,74.6
2010,2925.4,1617.34,1165.97,325.77,206.75,83.81
2011,779.54,2910.73,608.46,333.14,206.75,132.21
2012,1548.47,1551.43,1879,411.93,226.27,81
2013,1639.64,1408.65,772.94,554.94,370.66,100.01
2014,2681.55,1722.19,745.53,286.23,348.66,112.42
2015,1680.24,3573.47,1244.35,441.16,195.03,149.36
2016,898.21,1071.61,1919.2,615.35,356.29,136.8
2017,8451.97,900.55,1198.14,999.61,560.8,144.75
2018,469.41,2649.17,523.96,296.96,257.4,215.76
