"","year","catch","year.index1","index1"
"1",1991,18867.2164,1991.625,3832.029
"2",1992,17197.3362,1992.625,10873.14
"3",1993,14636.2515,1993.625,10726.442
"4",1994,16746.3432,1994.625,6581.541
"5",1995,14751.6717,1995.625,6440.189
"6",1996,16423.5358,1996.625,5630.929
"7",1997,11053.8434,1997.625,2500.074
"8",1998,15839.3493,1998.625,-2.035
"9",1999,16413.426,1999.625,2271.422
"10",2000,12052.9987,2000.625,-1.86
"11",2001,3656.881,2001.625,1304.498
"12",2002,7273.5223,2002.625,3533.582
"13",2003,11496.5211,2003.625,4317.507
"14",2004,7321.0467,2004.625,-1.936
"15",2005,5682.5903,2005.625,1779.834
"16",2006,3141.0624,2006.625,3726.458
"17",2007,5582.3928,2007.625,2032.923
"18",2008,6320.3494,2008.625,1745.432
"19",2009,4795.7529,2009.625,969.806
"20",2010,3498.8384962,2010.625,-2.65
"21",2011,2056.9013,2011.625,468.097
"22",2012,726.6857,2012.625,134.741
"23",2013,1968.55984,2013.625,3006.641
"24",2014,1947.729291,2014.625,2198.107
"25",2015,2972.4126,2015.625,3804.616
"26",2016,2885.5822,2016.625,3583.374
"27",2017,5006.0655,2017.625,8993.994
