year,age0,age1,age2,age3,age4,age5,age6
1991,14458,16398,4431,683,315,228,37
1992,20336,44912,14631,3150,647,127,200
1993,15220,37959,15689,3716,1104,183,38
1994,23474,13287,11399,4314,969,203,30
1995,16923,16971,6648,5993,1935,483,200
1996,33578,19420,5903,1940,1317,325,69
1997,28897,10693,2384,538,292,281,71
1998,-1,-1,-1,-1,-1,-1,-1
1999,10178,9969,2410,708,279,172,90
2000,-1,-1,-1,-1,-1,-1,-1
2001,31813,7455,521,284,154,39,14
2002,11704,20925,2464,173,105,65,20
2003,2526,10114,10927,1656,138,97,100
2004,-1,-1,-1,-1,-1,-1,-1
2005,24452,4082,920,1506,2107,231,33
2006,3570,18715,2562,256,1402,1694,349
2007,558,2671,6019,570,254,516,367
2008,85,560,966,3813,182,41,282
2009,132,139,323,488,1651,40,9
2010,-1,-1,-1,-1,-1,-1,-1
2011,13,17,96,22,42,88,607
2012,39619,4,12,73,14,75,50
2013,6035,14179,5,8,8,9,11
2014,3044,7232,4692,5,0,13,0
2015,1997,2908,5634,3304,28,28,16
2016,67096,1576,1483,2064,1526,11,1
2017,30130,29449,956,909,1389,663,5
