year,age0,age1,age2,age3,age4,age5,age6
1991,0,0.142,0.24,0.291,0.378,0.469,0.414
1992,0,0.133,0.239,0.318,0.362,0.423,0.567
1993,0,0.137,0.238,0.334,0.4,0.493,0.503
1994,0,0.153,0.233,0.319,0.42,0.469,0.477
1995,0,0.118,0.222,0.309,0.401,0.501,0.46
1996,0,0.136,0.278,0.314,0.395,0.553,0.575
1997,0,0.136,0.24,0.322,0.382,0.512,0.634
1998,0,0.141,0.25,0.308,0.354,0.436,0.546
1999,0,0.138,0.208,0.272,0.334,0.379,0.483
2000,0,0.189,0.25,0.267,0.321,0.382,0.451
2001,0,0.133,0.257,0.32,0.416,0.432,0.521
2002,0,0.135,0.239,0.237,0.325,0.509,0.58
2003,0,0.153,0.203,0.256,0.35,0.384,0.424
2004,0,0.147,0.198,0.244,0.294,0.444,0.609
2005,0,0.114,0.197,0.234,0.311,0.458,0.599
2006,0,0.093,0.198,0.245,0.329,0.441,0.595
2007,0,0.114,0.186,0.266,0.296,0.387,0.497
2008,0,0.199,0.241,0.291,0.437,0.571,0.669
2009,0,0.248,0.288,0.339,0.391,0.668,0.513
2010,0,0.1,0.352,0.46,0.437,0.56,0.741
2011,0,0.198,0.28,0.422,0.454,0.701,0.573
2012,0,0.263,0.295,0.544,0.708,0.529,0.817
2013,0,0.21,0.447,0.287,0.843,0.968,0.824
2014,0,0.117,0.285,0.268,0.488,1.031,1.099
2015,0,0.105,0.256,0.605,0.362,1.169,0.949
2016,0,0.308,0.468,0.612,0.735,1.576,1.808
2017,0,0.219,0.43,0.585,0.697,0.95,0.767
