"","year","catch","year.index1","index1","year.index2","index2"
"1",1993,4556,NA,NA,NA,NA
"2",1994,6017,NA,NA,NA,NA
"3",1995,6688,NA,NA,1995.5,1.217336318671
"4",1996,11065,NA,NA,1996.5,4.11336387821
"5",1997,13710,NA,NA,1997.5,5.672341115403
"6",1998,8862,NA,NA,1998.5,5.579176949933
"7",1999,5556,NA,NA,1999.5,3.081923847307
"8",2000,10002,NA,NA,2000.5,7.725910925068
"9",2001,12696,NA,NA,2001.5,7.065570997732
"10",2002,13561,NA,NA,2002.5,5.0411984033
"11",2003,17748,2003.875,77.68639,2003.5,3.607857011822
"12",2004,15527,2004.875,35.3851,2004.5,4.446758290959
"13",2005,11978,2005.875,27.16561,2005.5,5.51616628129
"14",2006,8077,2006.875,16.89814,2006.5,6.347139332951
"15",2007,9520,2007.875,17.42304,2007.5,5.261900096762
"16",2008,18642,2008.875,27.04028,2008.5,5.156939824406
"17",2009,18688,2009.875,30.26959,2009.5,7.665321304159
"18",2010,26809,2010.875,107.53824,2010.5,7.899954302015
"19",2011,27257,2011.875,60.94969,2011.5,10.264171302413
"20",2012,28567,2012.875,38.06374,2012.5,12.270329267345
"21",2013,15509,2013.875,21.15596,2013.5,9.877549999967
"22",2014,13031,2014.875,37.24312,2014.5,6.031783718384
"23",2015,15239,2015.875,33.56694,2015.5,4.698627753659
"24",2016,17931,2016.875,69.31333,2016.5,4.016570500469
"25",2017,16072,2017.875,37.56481,2017.5,3.550338824351
