"","year","catch","year.index1","index1","year.index2","index2"
"1",1965,334788.3475,NA,NA,NA,NA
"2",1966,375787.1518,NA,NA,NA,NA
"3",1967,273404.2798,1967.125,14.764563,1967.625,14.764563
"4",1968,347266.6509,1968.125,785.837252,1968.625,785.837252
"5",1969,980697.0024,1969.125,661.158602,1969.625,661.158602
"6",1970,845757.5655,1970.125,145.715242,1970.625,145.715242
"7",1971,503958.7406,1971.125,110.371072,1971.625,110.371072
"8",1972,408157.2403,1972.125,143.043098,1972.625,143.043098
"9",1973,344929.2113,1973.125,304.762988,1973.625,304.762988
"10",1974,396270.8228,1974.125,255.080955,1974.625,255.080955
"11",1975,494727.9725,1975.125,235.863614,1975.625,235.863614
"12",1976,402849.4298,1976.125,223.270676,1976.625,223.270676
"13",1977,240339.7309,1977.125,87.864874,1977.625,87.864874
"14",1978,146705.9592,1978.125,110.36389,1978.625,110.36389
"15",1979,149064.281,1979.125,141.125806,1979.625,141.125806
"16",1980,202450.9158,1980.125,218.228149,1980.625,218.228149
"17",1981,226484.5892,1981.125,273.975194,1981.625,273.975194
"18",1982,256108.4377,1982.125,339.78623,1982.625,339.78623
"19",1983,253229.5465,1983.125,283.774278,1983.625,283.774278
"20",1984,247089.4837,1984.125,306.759615,1984.625,306.759615
"21",1985,247098.4564,1985.125,354.926862,1985.625,354.926862
"22",1986,223727.1376,1986.125,279.621857,1986.625,279.621857
"23",1987,194994.605,1987.125,257.824306,1987.625,257.824306
"24",1988,179974.0868,1988.125,231.294403,1988.625,231.294403
"25",1989,127718.7348,1989.125,182.88898,1989.625,182.88898
"26",1990,86747.88838,1990.125,126.130479,1990.625,126.130479
"27",1991,97264.32277,1991.125,179.604145,1991.625,179.604145
"28",1992,135184.5338,1992.125,228.44268,1992.625,228.44268
"29",1993,180218.0419,1993.125,359.1039,1993.625,359.1039
"30",1994,169436.235,1994.125,206.634484,1994.625,206.634484
"31",1995,168927.7374,1995.125,286.592828,1995.625,286.592828
"32",1996,204683.0054,1996.125,283.22134,1996.625,283.22134
"33",1997,170009.4613,1997.125,408.826355,1997.625,408.826355
"34",1998,161929.0544,1998.125,258.879425,1998.625,258.879425
"35",1999,123489.0492,1999.125,177.700751,1999.625,177.700751
"36",2000,126823.0893,2000.125,517.713265,2000.625,517.713265
"37",2001,173365.9748,2001.125,620.938036,2001.625,620.938036
"38",2002,155333.3681,2002.125,543.874624,2002.625,543.874624
"39",2003,74350.26944,2003.125,311.497899,2003.625,311.497899
"40",2004,72513.07809,2004.125,255.426559,2004.625,255.426559
"41",2005,64115.16283,2005.125,72.389906,2005.625,72.389906
"42",2006,66967.2,2006.125,175.823662,2006.625,175.823662
"43",2007,67425.31092,2007.125,259.500895,2007.625,259.500895
"44",2008,47786.98908,2008.125,136.090718,2008.625,136.090718
"45",2009,47952.50092,2009.125,143.864114,2009.625,143.864114
"46",2010,45377.5511,2010.125,166.838109,2010.625,166.838109
"47",2011,49689.92149,2011.125,288.112322,2011.625,288.112322
"48",2012,43194.22447,2012.125,213.939631,2012.625,213.939631
"49",2013,47127.39804,2013.125,90.37329,2013.625,90.37329
"50",2014,46283.96955,2014.125,159.686826,2014.625,159.686826
"51",2015,41558.8786,2015.125,95.984391,2015.625,95.984391
"52",2016,43152.19802,2016.125,188.881712,2016.625,188.881712
"53",2017,40793.93293,2017.125,188.491149,2017.625,188.491149
