Stock,Year,B_BMSY,F_FMSY,Method
Whg6a,1981,3.007174888,1.222222222,ICES
Whg6a,1982,2.058699552,1.388888889,ICES
Whg6a,1983,1.408946188,2.333333333,ICES
Whg6a,1984,1.031569507,3,ICES
Whg6a,1985,0.938452915,3.444444444,ICES
Whg6a,1986,0.848452915,2.666666667,ICES
Whg6a,1987,0.90206278,3.166666667,ICES
Whg6a,1988,0.925403587,3.722222222,ICES
Whg6a,1989,0.503856502,3.333333333,ICES
Whg6a,1990,0.747825112,2.388888889,ICES
Whg6a,1991,0.614103139,2.444444444,ICES
Whg6a,1992,0.680784753,2.388888889,ICES
Whg6a,1993,0.967017937,2.555555556,ICES
Whg6a,1994,0.84632287,2.277777778,ICES
Whg6a,1995,0.847174888,2.555555556,ICES
Whg6a,1996,0.920829596,3.111111111,ICES
Whg6a,1997,0.729282511,3.444444444,ICES
Whg6a,1998,0.521973094,3.833333333,ICES
Whg6a,1999,0.477780269,4.666666667,ICES
Whg6a,2000,0.36441704,4.555555556,ICES
Whg6a,2001,0.411704036,4.111111111,ICES
Whg6a,2002,0.291165919,3,ICES
Whg6a,2003,0.17690583,3.166666667,ICES
Whg6a,2004,0.128789238,3.277777778,ICES
Whg6a,2005,0.084910314,2.722222222,ICES
Whg6a,2006,0.077847534,2.277777778,ICES
Whg6a,2007,0.077085202,1.777777778,ICES
Whg6a,2008,0.068721973,2,ICES
Whg6a,2009,0.078766816,1.722222222,ICES
Whg6a,2010,0.064237668,1.277777778,ICES
Whg6a,2011,0.131860987,0.788888889,ICES
Whg6a,2012,0.128340807,0.694444444,ICES
Whg6a,2013,0.153340807,0.511111111,ICES
Whg6a,2014,0.151098655,0.394444444,ICES
Whg6a,2015,0.174170404,0.372222222,ICES
Whg6a,2016,0.371367713,0.288888889,ICES
Whg6a,2017,0.405784753,0.227777778,ICES
