AssessmentKey,AssessmentYear,FishStock,StockDatabaseID,StockKey,Purpose,Year,StockDescription,ICES Areas (splited with character '~'),SpeciesName,SGName,Report,Low_Recruitment,Recruitment,High_Recruitment,UnitOfRecruitment,RecruitmentDescription,Low_TBiomass,TBiomass,High_TBiomass,TotalBiomassUnits,Low_StockSize,StockSize,High_StockSize,StockSizeDescription,StockSizeUnits,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Discards,IBC,Unallocated_Removals,YieldSSB,Low_FishingPressure,FishingPressure,High_FishingPressure,FishingPressureDescription,FishingPressureUnits,F_Landings,F_Discards,F_IBC,F_Unallocated,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength,FAge,FLength,TypeStock,FupperWithAR,FupperWithoutAR,FlowerWithoutAR,FlowerWithAR,Published,CustomRefPointName1,CustomRefPointValue1,CustomRefPointNotes1,CustomRefPointName2,CustomRefPointValue2,CustomRefPointNotes2,CustomRefPointName3,CustomRefPointValue3,CustomRefPointNotes3,CustomRefPointName4,CustomRefPointValue4,CustomRefPointNotes4,CustomRefPointName5,CustomRefPointValue5,CustomRefPointNotes5,Custom1,CustomName1,CustomUnits1,Custom2,CustomName2,CustomUnits2,Custom3,CustomName3,CustomUnits3,Custom4,CustomName4,CustomUnits4,Custom5,CustomName5,CustomUnits5,Custom6,CustomName6,CustomUnits6,Custom7,CustomName7,CustomUnits7,Custom8,CustomName8,CustomUnits8,Custom9,CustomName9,CustomUnits9,Custom10,CustomName10,CustomUnits10,Custom11,CustomName11,CustomUnits11,Custom12,CustomName12,CustomUnits12,Custom13,CustomName13,CustomUnits13,Custom14,CustomName14,CustomUnits14,Custom15,CustomName15,CustomUnits15,Custom16,CustomName16,CustomUnits16,Custom17,CustomName17,CustomUnits17,Custom18,CustomName18,CustomUnits18,Custom19,CustomName19,CustomUnits19,Custom20,CustomName20,CustomUnits20,ConfidenceIntervalDefinition
9792,2018,whg.27.6a,1786,169308,Advice,1981,Whiting (Merlangius merlangus) in Division 6.a (West of Scotland),27.6.a,Merlangius merlangus,,http://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.6a.pdf,159761.92,198942.99,238124.06,thousands,Recruitment,151602.0736,168324.563,488251.1996,,119264.9968,134120.012,148975.0272,SSB,tonnes,tonnes,12193.6438,,14325.4428,2131.799,,,,0.183632104,0.22269591,0.261759716,F,Year-1,,,,,0.27,0.19,31900,44600,0.18,44600,,,1,,02-Apr,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
9792,2018,whg.27.6a,1786,169308,Advice,1982,Whiting (Merlangius merlangus) in Division 6.a (West of Scotland),27.6.a,Merlangius merlangus,,http://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.6a.pdf,127280.816,162366.71,197452.604,thousands,Recruitment,98507.6834,109305.144,317117.9714,,82012.2532,91818.495,101624.7368,SSB,tonnes,tonnes,13880.3964,,19365.5314,5485.135,,,,0.207306314,0.25194315,0.296579986,F,Year-1,,,,,0.27,0.19,31900,44600,0.18,44600,,,1,,02-Apr,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
9792,2018,whg.27.6a,1786,169308,Advice,1983,Whiting (Merlangius merlangus) in Division 6.a (West of Scotland),27.6.a,Merlangius merlangus,,http://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.6a.pdf,158708.798,197243.08,235777.362,thousands,Recruitment,82924.7938,92664.029,268252.8518,,55767.9026,62838.7,69909.4974,SSB,tonnes,tonnes,15962.379,,22256.535,6294.156,,,,0.347066958,0.41602345,0.484979942,F,Year-1,,,,,0.27,0.19,31900,44600,0.18,44600,,,1,,02-Apr,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
9792,2018,whg.27.6a,1786,169308,Advice,1984,Whiting (Merlangius merlangus) in Division 6.a (West of Scotland),27.6.a,Merlangius merlangus,,http://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.6a.pdf,271538.7,324806,378073.3,thousands,Recruitment,72735.0172,81538.264,235811.5452,,40280.1282,46008.349,51736.5698,SSB,tonnes,tonnes,16459.3751,,20476.1541,4016.779,,,,0.450644746,0.53759067,0.624536594,F,Year-1,,,,,0.27,0.19,31900,44600,0.18,44600,,,1,,02-Apr,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
9792,2018,whg.27.6a,1786,169308,Advice,1985,Whiting (Merlangius merlangus) in Division 6.a (West of Scotland),27.6.a,Merlangius merlangus,,http://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.6a.pdf,260731.754,308252.98,355774.206,thousands,Recruitment,69927.65,78164.469,226256.588,,36506.8002,41854.706,47202.6118,SSB,tonnes,tonnes,12879.0904,,17719.3174,4840.227,,,,0.521885708,0.61583455,0.709783392,F,Year-1,,,,,0.27,0.19,31900,44600,0.18,44600,,,1,,02-Apr,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
9792,2018,whg.27.6a,1786,169308,Advice,1986,Whiting (Merlangius merlangus) in Division 6.a (West of Scotland),27.6.a,Merlangius merlangus,,http://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.6a.pdf,245304.464,288271.13,331237.796,thousands,Recruitment,64034.4502,71517.877,207070.2042,,32916.394,37841.428,42766.462,SSB,tonnes,tonnes,8457.8959,,11127.1989,2669.303,,,,0.401200054,0.47892668,0.556653306,F,Year-1,,,,,0.27,0.19,31900,44600,0.18,44600,,,1,,02-Apr,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
9792,2018,whg.27.6a,1786,169308,Advice,1987,Whiting (Merlangius merlangus) in Division 6.a (West of Scotland),27.6.a,Merlangius merlangus,,http://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.6a.pdf,338598.432,407271.47,475944.508,thousands,Recruitment,69079.3522,77442.573,223964.4982,,35349.0356,40232.038,45115.0404,SSB,tonnes,tonnes,11542.1642,,23459.9382,11917.774,,,,0.48467983,0.57364487,0.66260991,F,Year-1,,,,,0.27,0.19,31900,44600,0.18,44600,,,1,,02-Apr,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
9792,2018,whg.27.6a,1786,169308,Advice,1988,Whiting (Merlangius merlangus) in Division 6.a (West of Scotland),27.6.a,Merlangius merlangus,,http://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.6a.pdf,83337.164,105863.03,128388.896,thousands,Recruitment,44083.0054,49970.457,144023.9194,,36150.2394,41272.825,46395.4106,SSB,tonnes,tonnes,11348.5483,,19481.0053,8132.457,,,,0.569433624,0.67348157,0.777529516,F,Year-1,,,,,0.27,0.19,31900,44600,0.18,44600,,,1,,02-Apr,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
9792,2018,whg.27.6a,1786,169308,Advice,1989,Whiting (Merlangius merlangus) in Division 6.a (West of Scotland),27.6.a,Merlangius merlangus,,http://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.6a.pdf,281185.57,325196.16,369206.75,thousands,Recruitment,50299.0896,56427.811,163154.7116,,19103.717,22471.638,25839.559,SSB,tonnes,tonnes,7522.6876,,13399.1586,5876.471,,,,0.499271476,0.59665687,0.694042264,F,Year-1,,,,,0.27,0.19,31900,44600,0.18,44600,,,1,,02-Apr,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
9792,2018,whg.27.6a,1786,169308,Advice,1990,Whiting (Merlangius merlangus) in Division 6.a (West of Scotland),27.6.a,Merlangius merlangus,,http://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.6a.pdf,138506.562,175920.77,213334.978,thousands,Recruitment,50372.2984,57523.228,165418.7544,,29177.2502,33352.909,37528.5678,SSB,tonnes,tonnes,5642.398,,10172.484,4530.086,,,,0.353003722,0.42931281,0.505621898,F,Year-1,,,,,0.27,0.19,31900,44600,0.18,44600,,,1,,02-Apr,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
