"","year","catch","year.index1","index1"
"1",1981,5469.337,NA,NA
"2",1982,4030.38,NA,NA
"3",1983,4339.401,NA,NA
"4",1984,4934.036,NA,NA
"5",1985,5666.364,NA,NA
"6",1986,5434.03,NA,NA
"7",1987,6932.243,NA,NA
"8",1988,5753.329,NA,NA
"9",1989,4989.717,NA,NA
"10",1990,3707.789,NA,NA
"11",1991,3130.734,NA,NA
"12",1992,3941.272,NA,NA
"13",1993,2658.422,1993,1.38637107165479
"14",1994,2801.345,1994,1.1727522878605
"15",1995,2591.762,1995,1.1083567339585
"16",1996,2517.511,1996,1.07279106676416
"17",1997,3245.552,1997,1.26994251019019
"18",1998,4028.403,1998,1.26150417236071
"19",1999,3396.745,1999,1.49969139878648
"20",2000,2678.413,2000,1.83406200764522
"21",2001,2573.118,2001,1.56911367872167
"22",2002,2708.278,2002,2.16011534481811
"23",2003,2668.226,2003,2.5344224401866
"24",2004,2172.615,2004,2.87642638228328
"25",2005,2491.96,2005,2.06274318940604
"26",2006,2188.171,2006,2.11849015953854
"27",2007,2549.461,2007,1.44635433253078
"28",2008,1830.478,2008,1.78242741852221
"29",2009,1587.683,2009,1.37699731048782
"30",2010,2938.925,2010,1.83925307478851
"31",2011,1197.512,2011,1.8460586889139
"32",2012,1510.693,2012,1.00510212050345
"33",2013,1028.159,2013,1.59422533670322
"34",2014,1229.918,2014,1.86646612214486
"35",2015,1012.411,2015,1.72045941348111
"36",2016,1119.493,2016,2.70863862304223
"37",2017,1438.168,2017,1.75341170877518
