,year,catch,year.index1,index1,year.index2,index2,year.index3,index3,year.index4,index4
1,1977,1165.78,NA,NA,NA,NA,NA,NA,NA,NA
2,1978,1347.5,NA,NA,NA,NA,NA,NA,NA,NA
3,1979,1329.02,NA,NA,NA,NA,NA,NA,NA,NA
4,1980,2114.42,NA,NA,NA,NA,NA,NA,NA,NA
5,1981,2120.58,NA,NA,NA,NA,NA,NA,NA,NA
6,1982,2006.62,NA,NA,NA,NA,NA,NA,NA,NA
7,1983,1764.84,NA,NA,NA,NA,NA,NA,NA,NA
8,1984,1863.4,NA,NA,NA,NA,NA,NA,NA,NA
9,1985,2698.08,NA,NA,NA,NA,NA,NA,NA,NA
10,1986,2604.14,NA,NA,NA,NA,NA,NA,NA,NA
11,1987,2927.54,NA,NA,NA,NA,NA,NA,NA,NA
12,1988,3258.64,NA,NA,NA,NA,NA,NA,NA,NA
13,1989,3312.54,NA,NA,NA,NA,NA,NA,NA,NA
14,1990,3206.28,NA,NA,NA,NA,NA,NA,NA,NA
15,1991,2311.54,NA,NA,NA,NA,NA,NA,NA,NA
16,1992,1829.52,NA,NA,NA,NA,NA,NA,NA,NA
17,1993,1715.56,NA,NA,NA,NA,NA,NA,NA,NA
18,1994,1647.8,NA,NA,NA,NA,NA,NA,NA,NA
19,1995,1583.12,1995,30.27,1995,0.065291947,1995,3.983,NA,NA
20,1996,1466.08,1996,35.19,1996,0.073875758,1996,2.076,NA,NA
21,1997,1874.18,1997,43.09,1997,0.075489422,1997,1.368,NA,NA
22,1998,1643.18,1998,59.8,1998,0.078079978,1998,2.322,NA,NA
23,1999,1490.72,1999,57.39,1999,0.058100376,1999,3.262,NA,NA
24,2000,1105.72,2000,44.2,2000,0.032775898,2000,3.843,NA,NA
25,2001,1099.56,2001,33.82,2001,0.043123286,2001,2.814,NA,NA
26,2002,988.68,2002,98.9,2002,0.037556561,2002,1.488,NA,NA
27,2003,914.76,2003,90.79,2003,0.050695043,2003,2.039,2003,9.6
28,2004,784,2004,49.03,2004,0.040150214,2004,2.792,2004,7.1
29,2005,707,2005,44.01,2005,0.02692679,2005,1.221,2005,8.3
30,2006,857,2006,57.82,2006,0.032704308,2006,2.251,2006,8.1
31,2007,1698,2007,69.89,2007,0.038155464,2007,1.578,2007,14
32,2008,1020,2008,71.46,2008,0.045518848,2008,2.516,2008,11
33,2009,1089,2009,117.43,2009,0.064603692,2009,1.401,2009,54.9
34,2010,1112,2010,80.8,2010,0.044320138,2010,2.321,2010,47.3
35,2011,1534,2011,118.25,NA,NA,NA,NA,2011,56
36,2012,1565,2012,150.25,NA,NA,NA,NA,2012,55
37,2013,1688,2013,253.9,NA,NA,NA,NA,2013,72.3
38,2014,1183,2014,203.9,NA,NA,NA,NA,2014,39.5
39,2015,1159,2015,371.06,NA,NA,NA,NA,2015,64.2
40,2016,1002,2016,455.62,NA,NA,NA,NA,2016,69.9
41,2017,1284.5,2017,408.04,NA,NA,NA,NA,2017,45
42,2018,930,2018,318.8,NA,NA,NA,NA,2018,30.6
