"","year","catch","year.index1","index1"
"1",1993,437,NA,NA
"2",1994,317,NA,NA
"3",1995,419,NA,NA
"4",1996,336,NA,NA
"5",1997,375,NA,NA
"6",1998,306,NA,NA
"7",1999,311,NA,NA
"8",2000,225,NA,NA
"9",2001,182,NA,NA
"10",2002,183,NA,NA
"11",2003,147,NA,NA
"12",2004,104,NA,NA
"13",2005,94,NA,NA
"14",2006,71,2006,1064.82
"15",2007,94,2007,965.736
"16",2008,79,2008,1226.592
"17",2009,80,2009,859.505
"18",2010,78,2010,814.157
"19",2011,80,2011,1123.516
"20",2012,112,2012,1078.999
"21",2013,65,2013,692.092
"22",2014,89,2014,1037.345
"23",2015,33,2015,309.861
"24",2016,37,2016,394.518
"25",2017,53,2017,668.364
