"","year","catch","year.index1","index1","year.index2","index2","year.index3","index3"
"1",1984,339.371,NA,NA,NA,NA,NA,NA
"2",1985,397.655,NA,NA,NA,NA,NA,NA
"3",1986,643.306,NA,NA,NA,NA,NA,NA
"4",1987,720.024,NA,NA,NA,NA,1987,5.38749157303371
"5",1988,703.778,NA,NA,NA,NA,1988,5.5816095890411
"6",1989,826.978,NA,NA,NA,NA,1989,3.9460192926045
"7",1990,1053.137,NA,NA,NA,NA,1990,6.55474957410562
"8",1991,1063.273,NA,NA,NA,NA,1991,9.69721835268104
"9",1992,1390.866,NA,NA,NA,NA,1992,10.5000060586735
"10",1993,1441.949,NA,NA,NA,NA,1993,7.18698934324659
"11",1994,1206.353,NA,NA,1994,0.82398592326801,1994,8.31178070507961
"12",1995,1327.908,NA,NA,1995,0.837302881355932,1995,7.84183417186557
"13",1996,1077.718,NA,NA,1996,0.612155912203977,1996,7.60373265020959
"14",1997,815.4,NA,NA,1997,0.695142534730929,1997,4.07926520983362
"15",1998,604.647,NA,NA,1998,0.381144911504425,1998,1.64382305194805
"16",1999,635.413,NA,NA,1999,0.71693257016619,1999,5.58835760971055
"17",2000,645.716,NA,NA,2000,0.420259293719602,2000,4.06521543985637
"18",2001,478.827,NA,NA,2001,0.537003773584906,2001,3.77370194003527
"19",2002,864.811,NA,NA,2002,0.751885850476668,2002,9.58906608811749
"20",2003,620.802,NA,NA,2003,0.965357008398494,2003,6.46839751552795
"21",2004,830.952,2004.875,49.218233,2004,0.749514135556361,2004,9.13855313828457
"22",2005,1005.982,2005.875,44.646266,2005,1.11376464100585,2005,10.4505639464068
"23",2006,853.57,2006.875,44.135581,2006,0.996734756723465,2006,7.11855779054917
"24",2007,655.672,2007.875,48.127761,2007,0.51579561628238,2007,3.64043956043956
"25",2008,642.574,2008.875,35.913882,NA,NA,2008,2.83898907103825
"26",2009,650.931,2009.875,39.764356,NA,NA,NA,NA
"27",2010,535.482,2010.875,31.362541,NA,NA,NA,NA
"28",2011,506.868,2011.875,37.448307,NA,NA,NA,NA
"29",2012,357.775,2012.875,-2.824,NA,NA,NA,NA
"30",2013,304.835,2013.875,-2.315,NA,NA,NA,NA
"31",2014,331.807,2014.875,35.608653,NA,NA,NA,NA
"32",2015,214.089,2015.875,44.631859,NA,NA,NA,NA
"33",2016,346.237,2016.875,42.892227,NA,NA,NA,NA
"34",2017,518.248,2017.875,44.888258,NA,NA,NA,NA
