"","year","catch","year.index1","index1"
"1",1970,1785,NA,NA
"2",1971,1882,NA,NA
"3",1972,1450,NA,NA
"4",1973,1428,NA,NA
"5",1974,1307,NA,NA
"6",1975,1441,NA,NA
"7",1976,1463,NA,NA
"8",1977,1147,NA,NA
"9",1978,1106,NA,NA
"10",1979,1614,NA,NA
"11",1980,1941,NA,NA
"12",1981,1667,NA,NA
"13",1982,1338,NA,NA
"14",1983,1169,NA,NA
"15",1984,1058,NA,NA
"16",1985,1146,NA,NA
"17",1986,1995,NA,NA
"18",1987,2808,NA,NA
"19",1988,1999,1988.625,1.509444144539
"20",1989,1833,1989.625,1.344738262231
"21",1990,1583,1990.625,1.423473857965
"22",1991,1212,1991.625,1.790224591999
"23",1992,1259,1992.625,1.606238177829
"24",1993,1023,1993.625,0.885831453024
"25",1994,1374,1994.625,1.450629343793
"26",1995,1266,1995.625,0.994571600877
"27",1996,1002,1996.625,0.573021491584
"28",1997,1003,1997.625,1.093393860665
"29",1998,911,1998.625,1.709493349628
"30",1999,863,1999.625,1.41726453144
"31",2000,818,2000.625,1.301625345143
"32",2001,1053,2001.625,1.083378305125
"33",2002,1090,2002.625,0.847298498649
"34",2003,1014,2003.625,0.840155868184
"35",2004,709,2004.625,0.924629377016
"36",2005,855,2005.625,0.54242914861
"37",2006,569,2006.625,0.474683343543
"38",2007,492,2007.625,0.434462398308
"39",2008,332,2008.625,0.448363833022
"40",2009,325,2009.625,0.443470048725
"41",2010,277,2010.625,0.306387098971
"42",2011,330,2011.625,0.405166069681
"43",2012,298,2012.625,0.245392402402
"44",2013,148,2013.625,0.345298562304
"45",2014,99,2014.625,0.302657058816
"46",2015,76,2015.625,0.399336529255
"47",2016,35,2016.625,0.730028291382
"48",2017,34,2017.625,0.679002254228
