"","year","catch","year.index1","index1","year.index2","index2","year.index3","index3","year.index4","index4"
"1",1971,1861,1971,48.0285714285714,NA,NA,NA,NA,NA,NA
"2",1972,1278,1972,35.6735781990521,NA,NA,NA,NA,NA,NA
"3",1973,1391,1973,30.0243818286371,NA,NA,NA,NA,NA,NA
"4",1974,1105,1974,33.820605416888,NA,NA,NA,NA,NA,NA
"5",1975,919,1975,25.346336996337,NA,NA,NA,NA,NA,NA
"6",1976,1350,1976,24.1447096544353,NA,NA,NA,NA,NA,NA
"7",1977,961,1977,24.4687681459975,NA,NA,NA,NA,NA,NA
"8",1978,780,1978,21.7272526257601,NA,NA,NA,NA,NA,NA
"9",1979,954,1979,29.1094708994709,NA,NA,NA,NA,NA,NA
"10",1980,1314,1980,24.1406616126809,NA,NA,NA,NA,NA,NA
"11",1981,1212,1981,20.758378072902,NA,NA,NA,NA,NA,NA
"12",1982,1128,1982,24.3650330205075,NA,NA,NA,NA,NA,NA
"13",1983,1373,1983,18.9621745350501,NA,NA,NA,NA,NA,NA
"14",1984,1266,1984,18.7015830346476,NA,NA,NA,NA,NA,NA
"15",1985,1328,1985,19.5288960237096,NA,NA,NA,NA,NA,NA
"16",1986,1600,1986,18.5664506290507,NA,NA,NA,NA,NA,NA
"17",1987,1222,1987,16.1208434058555,NA,NA,NA,NA,NA,NA
"18",1988,1146,1988,13.8900978564772,NA,NA,NA,NA,1988.875,0.509282245008095
"19",1989,992,1989,11.5997013811124,NA,NA,NA,NA,1989.875,0.733051170179199
"20",1990,1189,1990,15.8613111497393,NA,NA,NA,NA,1990.875,0.491153482779352
"21",1991,1107,1991,19.0397229916898,NA,NA,1991,6.2377358490566,1991.875,0.79563244469654
"22",1992,981,1992,19.6936984687868,NA,NA,1992,5.4294298490777,1992.875,0.699323622059835
"23",1993,928,1993,17.080588423409,NA,NA,1993,4.61823915237134,1993.875,0.653017106334983
"24",1994,1009,1994,14.4838070404172,NA,NA,1994,3.83950850661626,1994.875,0.623965368825321
"25",1995,1157,1995,13.3681238234679,NA,NA,1995,4.4608938547486,1995.875,0.372273384050276
"26",1996,995,1996,12.1325635103926,NA,NA,1996,4.51772247360483,1996.875,0.407995480302213
"27",1997,927,NA,NA,1997,10.3611743193824,1997,3.78586046511628,1997.875,0.314407325522692
"28",1998,875,NA,NA,1998,10.3590122982321,1998,2.88580454928391,1998.875,0.618761206761485
"29",1999,1012,NA,NA,1999,13.1858506224066,1999,3.42496559858463,1999.875,0.409175998381004
"30",2000,1091,NA,NA,2000,8.89498930099857,2000,3.34043758546591,2000.875,0.982435577441986
"31",2001,1168,NA,NA,2001,15.6156124593923,2001,4.03092051905921,2001.875,1.25500876956287
"32",2002,1345,NA,NA,2002,21.4691726332538,2002,7.08510524913403,2002.875,0.852747234214787
"33",2003,1547,NA,NA,2003,14.1194081418056,2003,6.42087939081307,2003.875,1.14671310037777
"34",2004,1398,NA,NA,2004,9.77175317185698,2004,6.25820203892493,2004.875,0.685253207527462
"35",2005,1118,NA,NA,2005,9.29601547943242,2005,6.36458708979445,2005.875,0.460705612520237
"36",2006,946,NA,NA,2006,8.14181347987716,2006,7.69703823371028,2006.875,0.412354964921749
"37",2007,945,NA,NA,2007,7.94511494252874,2007,11.3677944046845,2007.875,0.254072787371829
"38",2008,800,NA,NA,2008,8.6393491864831,2008,10.6842371655821,2008.875,0.221077307069617
"39",2009,805,NA,NA,2009,8.25432525951557,2009,10.4176279447604,2009.875,0.565729560172693
"40",2010,876,NA,NA,2010,10.1060288594584,2010,7.36419667590028,2010.875,0.937887884511603
"41",2011,1029,NA,NA,2011,10.2542990331492,2011,7.43270485859318,2011.875,0.470537641662169
"42",2012,1104,NA,NA,2012,10.970521646015,2012,6.50751761942052,2012.875,0.534934902860227
"43",2013,1093,NA,NA,2013,10.0618168168168,NA,NA,2013.875,0.89920905288721
"44",2014,1042,NA,NA,2014,11.8276772082879,NA,NA,2014.875,0.569313275769023
"45",2015,830,NA,NA,2015,11.8431629260183,NA,NA,2015.875,0.224728480841878
"46",2016,831,NA,NA,2016,9.2737708129285,NA,NA,2016.875,0.685838842417701
"47",2017,776,NA,NA,2017,9.06818784321151,NA,NA,2017.875,0.4778315569347
