"","year","catch","year.index1","index1"
"1",1993,246,NA,NA
"2",1994,178,NA,NA
"3",1995,241,NA,NA
"4",1996,166,NA,NA
"5",1997,191,NA,NA
"6",1998,219,NA,NA
"7",1999,200,NA,NA
"8",2000,109,NA,NA
"9",2001,127,NA,NA
"10",2002,144,NA,NA
"11",2003,102,NA,NA
"12",2004,85,NA,NA
"13",2005,77,NA,NA
"14",2006,61,2006,818.593
"15",2007,83,2007,1116.172
"16",2008,77,2008,1285.659
"17",2009,69,2009,1036.686
"18",2010,82,2010,1054.824
"19",2011,87,2011,1198.748
"20",2012,94,2012,1195.911
"21",2013,91,2013,1593.217
"22",2014,87,2014,1457.808
"23",2015,78,2015,1707.838
"24",2016,115,2016,2087.37
"25",2017,114,2017,1498.625
