"","year","catch","index1","year.index1","index2","year.index2","index3","year.index3"
"1",1981,14325.4428,NA,NA,NA,NA,NA,NA
"2",1982,19365.53142,NA,NA,NA,NA,NA,NA
"3",1983,22256.53497,NA,NA,NA,NA,NA,NA
"4",1984,20476.1541,NA,NA,NA,NA,NA,NA
"5",1985,17719.31738,5576,1985.125,NA,NA,NA,NA
"6",1986,11127.19891,3472.1,1986.125,NA,NA,NA,NA
"7",1987,23459.93825,8756,1987.125,NA,NA,NA,NA
"8",1988,19481.00532,4926.6,1988.125,NA,NA,NA,NA
"9",1989,13399.15858,2289,1989.125,NA,NA,NA,NA
"10",1990,10172.484,2791.2,1990.125,NA,NA,NA,NA
"11",1991,11541.14426,3848.3,1991.125,NA,NA,NA,NA
"12",1992,15253.23206,7375,1992.125,NA,NA,NA,NA
"13",1993,11631.13392,13137.6,1993.125,NA,NA,NA,NA
"14",1994,9355.615165,10789.2,1994.125,NA,NA,NA,NA
"15",1995,11849.27469,10046,1995.125,NA,NA,NA,NA
"16",1996,15097.81675,12763.3,1996.125,3839,1996.875,NA,NA
"17",1997,11541.69633,10111.2,1997.125,4361,1997.875,NA,NA
"18",1998,13842.92459,11755.5,1998.125,4108.6,1998.875,NA,NA
"19",1999,8588.009335,11685.8,1999.125,3119,1999.875,NA,NA
"20",2000,16295.92342,13540.2,2000.125,5021.9,2000.875,NA,NA
"21",2001,6701.800816,6899.5,2001.125,3586,2001.875,NA,NA
"22",2002,4618.319234,7638.9,2002.125,2734.6,2002.875,NA,NA
"23",2003,2074.147814,8450,2003.125,4465,2003.875,8882.8,2003.875
"24",2004,2970.05508,7827,2004.125,2901,2004.875,2291,2004.875
"25",2005,969.561748,2269,2005.125,715.3,2005.875,2158.8,2005.875
"26",2006,1326.553407,2268.6,2006.125,581.8,2006.875,882.1,2006.875
"27",2007,744.582579,1358.2,2007.125,990.9,2007.875,2881.7,2007.875
"28",2008,759.391318,833.8,2008.125,451.2,2008.875,3512.3,2008.875
"29",2009,907.57998,1529.7,2009.125,539.3,2009.875,1251.3,2009.875
"30",2010,1199.798891,4067.5,2010.125,2377.966,2010.875,5537.8,2010.875
"31",2011,568.796891,2648.532,2011.125,2178.775,2011.875,5409.5,2011.875
"32",2012,1039.333187,4563.544,2012.125,731.127,2012.875,5006.3,2012.875
"33",2013,1173.142695,2418.509,2013.125,2199.29,2013.875,3482.5,2013.875
"34",2014,767.3456,6366.707,2014.125,3773.643,2014.875,12533.1,2014.875
"35",2015,1062.614957,3971.376,2015.125,5202.863,2015.875,19832.9,2015.875
"36",2016,1029.763015,7561.418,2016.125,8438.648,2016.875,16760.7,2016.875
"37",2017,1383.377278,8942.371,2017.125,NA,NA,5670.6,2017.875
