year,age0,age1,age2,age3,age4,age5,age6
1980,0,0.0733,0.1733,0.2992,0.446,0.5795,0.7203
1981,0,0.0785,0.1797,0.3003,0.4468,0.5795,0.7143
1982,0,0.084,0.187333,0.311,0.440833,0.576,0.694833
1983,0,0.085,0.194,0.321,0.45,0.581333,0.666833
1984,0,0.079,0.191833,0.316333,0.447333,0.574333,0.662833
1985,0,0.0697,0.180667,0.303833,0.4455,0.5825,0.699833
1986,0,0.0643,0.1685,0.290667,0.433833,0.589333,0.7485
1987,0,0.0598,0.157167,0.285667,0.438667,0.6195,0.812333
1988,0,0.0617,0.15,0.266167,0.425,0.626167,0.868167
1989,0,0.0607,0.149667,0.253333,0.396333,0.605667,0.841167
1990,0,0.0608,0.147333,0.24,0.355,0.5375,0.781667
1991,0,0.0545,0.141667,0.239333,0.331833,0.477167,0.718
1992,0,0.048,0.123333,0.221833,0.314833,0.428167,0.7055
1993,0,0.0463,0.117,0.2045,0.292667,0.398167,0.635833
1994,0,0.0462,0.118,0.200167,0.279833,0.396,0.6755
1995,0,0.0473,0.120833,0.202,0.2695,0.375167,0.652333
1996,0,0.042,0.114167,0.205,0.2675,0.370333,0.667833
1997,0,0.0367,0.105333,0.195167,0.258,0.3345,0.521
1998,0,0.0322,0.101,0.194,0.259833,0.322667,0.4225
1999,0,0.0313,0.0945,0.193667,0.263167,0.321167,0.358833
2000,0,0.0312,0.0895,0.2015,0.274167,0.353167,0.336667
2001,0,0.0293,0.0835,0.198667,0.288833,0.381167,0.384667
2002,0,0.02904,0.099228,0.205381,0.284722,0.325833,0.349333
2003,0,0.028,0.101,0.227,0.326,0.309,0.235
2004,0,0.029,0.104,0.228,0.334,0.322,0.206
2005,0,0.032,0.092,0.228,0.352,0.386,0.244
2006,0,0.033,0.094,0.21,0.336,0.43,0.515
2007,0,0.035,0.09,0.208,0.333,0.496,0.713
2008,0,0.031,0.082,0.215,0.326,0.528,0.739
2009,0,0.033,0.077,0.199,0.333,0.48,0.559
2010,0,0.033,0.076,0.188,0.331,0.413,0.425
2011,0,0.031,0.078,0.175,0.333,0.396,0.414
2012,0,0.032,0.075,0.175,0.313,0.392,0.455
2013,0,0.033,0.081,0.178,0.313,0.416,0.475
2014,0,0.037,0.084,0.185,0.327,0.401,0.537
2015,0,0.037,0.088,0.19,0.335,0.432,0.608
