"","year","catch","year.index1","index1"
"1",1999,25600,NA,NA
"2",2000,20044,NA,NA
"3",2001,23073,NA,NA
"4",2002,20976,NA,NA
"5",2003,14657,2003.875,36.2903884
"6",2004,16669,2004.875,52.3626724
"7",2005,18907,2005.875,17.5336908
"8",2006,21691,2006.875,33.1549888
"9",2007,17542,2007.875,39.5230035
"10",2008,8739,2008.875,36.5284304
"11",2009,10673,2009.875,37.7216127
"12",2010,11522,2010.875,48.0692337
"13",2011,11452,2011.875,86.0198374
"14",2012,12261,2012.875,60.4745384
"15",2013,14914,2013.875,81.8809632
"16",2014,16824,2014.875,54.6626086
"17",2015,19275,2015.875,44.4809899
"18",2016,22457,2016.875,42.2649365
"19",2017,16198,2017.875,41.6464308
