"","year","catch","year.index1","index1","year.index2","index2"
"1",1978,188196.7775,NA,NA,NA,NA
"2",1979,243626.4713,NA,NA,NA,NA
"3",1980,223298.3563,NA,NA,NA,NA
"4",1981,192190.2598,NA,NA,NA,NA
"5",1982,140263.8338,NA,NA,NA,NA
"6",1983,161344.2192,1983.125,66.575741190107,NA,NA
"7",1984,145633.8661,1984.125,62.049741578207,NA,NA
"8",1985,100358.819,1985.125,64.944982127801,NA,NA
"9",1986,161534.9399,1986.125,83.738226496052,NA,NA
"10",1987,138817.4881,1987.125,85.608317491704,NA,NA
"11",1988,133215.1223,1988.125,129.106470255201,NA,NA
"12",1989,123556.176,1989.125,161.168457122552,NA,NA
"13",1990,152601.8963,1990.125,122.650215981282,NA,NA
"14",1991,126741.763,1991.125,187.284786873219,1991.625,15.17602498224
"15",1992,108556.1181,1992.125,163.481262369263,1992.625,47.932911320714
"16",1993,116910.7989,1993.125,145.123158074456,1993.625,35.96953795035
"17",1994,101650.45,1994.125,124.118231868495,1994.625,42.709116193343
"18",1995,105493.1467,1995.125,120.37058961791,1995.625,60.899668137195
"19",1996,76123.46897,1996.125,118.479707534626,1996.625,57.426009991266
"20",1997,61434.30496,1997.125,84.667219391584,1997.625,50.734935320141
"21",1998,47475.83098,1998.125,66.302251954192,1998.625,42.577793353735
"22",1999,60845.07004,1999.125,76.572749551008,1999.625,76.568012421632
"23",2000,63806.37699,2000.125,124.857779826088,2000.625,119.118991495061
"24",2001,45242.27601,2001.125,153.407361092717,2001.625,124.829546429228
"25",2002,46449.59209,2002.125,96.148046798594,2002.625,105.627183977303
"26",2003,45640.26704,2003.125,89.97304396389,2003.625,103.839669199355
"27",2004,33558.09295,2004.125,69.870565313319,2004.625,66.757368190331
"28",2005,28882.37,2005.125,43.033704172628,2005.625,36.136259922546
"29",2006,36769.24003,2006.125,37.037815903453,2006.625,35.495549082105
"30",2007,26974.71103,2007.125,35.947430713604,2007.625,50.068230751519
"31",2008,28246.45901,2008.125,51.861642037481,2008.625,48.633770068716
"32",2009,28416.39101,2009.125,67.355124568358,2009.625,52.517326313565
"33",2010,34442.41499,2010.125,139.958441628382,2010.625,66.02506020313
"34",2011,30662.39799,2011.125,108.062942756184,2011.625,52.351888946086
"35",2012,30212.30697,2012.125,116.721588835654,2012.625,37.269763049026
"36",2013,26661.81,2013.125,101.678396393137,2013.625,35.018754562042
"37",2014,28364.137,2014.125,78.035817852543,2014.625,46.230365334172
"38",2015,36253.09997,2015.125,64.794605903833,2015.625,27.646015596098
"39",2016,33393.57397,2016.125,73.835621195463,2016.625,33.2271572888
"40",2017,29345.72,2017.125,77.316851630466,2017.625,42.402952166877
